구,법정동,층,건축년도,용적률,건폐율,노령화지수,전세가율,소비자물가지수,회사채,지하철역 개수,면적당가격(만원)
서초구,방배동,6,2003.0,203.77984596774192,52.41860403225807,1.5206927985414769,52.87,109.21,271190.0,36,909.0432960893854
서초구,방배동,21,2004.0,203.77984596774192,52.41860403225807,1.5206927985414769,52.87,109.21,271190.0,36,2014.3240823634735
서초구,방배동,8,2005.0,203.77984596774192,52.41860403225807,1.5206927985414769,52.87,109.21,271190.0,36,929.054054054054
서초구,방배동,11,2001.0,203.77984596774192,52.41860403225807,1.5206927985414769,52.87,109.21,271190.0,36,1447.4883396772636
서초구,방배동,1,1999.0,203.77984596774192,52.41860403225807,1.5206927985414769,52.87,109.21,271190.0,36,1141.173541372728
서초구,방배동,5,1998.0,203.77984596774192,52.41860403225807,1.5089625203693644,53.26,108.93,296979.0,36,1190.7029910459134
서초구,방배동,13,1999.0,203.77984596774192,52.41860403225807,1.5089625203693644,53.26,108.93,296979.0,36,2459.9811676082863
서초구,방배동,4,1975.0,203.77984596774192,52.41860403225807,1.5089625203693644,53.26,108.93,296979.0,36,1904.41086128517
서초구,방배동,5,2012.0,203.77984596774192,52.41860403225807,1.5089625203693644,53.26,108.93,296979.0,36,1287.4473879673187
서초구,방배동,10,2018.0,203.77984596774192,52.41860403225807,1.5089625203693644,53.26,108.93,296979.0,36,2833.6261413679413
서초구,방배동,4,2005.0,203.77984596774192,52.41860403225807,1.5089625203693644,53.26,108.93,296979.0,36,979.7297297297296
서초구,방배동,5,2003.0,203.77984596774192,52.41860403225807,1.5040943039683254,53.46,108.62,315675.0,36,1295.6419316843344
서초구,방배동,4,2003.0,203.77984596774192,52.41860403225807,1.5040943039683254,53.46,108.62,315675.0,36,1194.0786783348328
서초구,방배동,2,1976.0,203.77984596774192,52.41860403225807,1.5040943039683254,53.46,108.62,315675.0,36,1295.6286615592608
서초구,방배동,6,1999.0,203.77984596774192,52.41860403225807,1.5040943039683254,53.46,108.62,315675.0,36,3003.003003003003
서초구,방배동,4,1999.0,203.77984596774192,52.41860403225807,1.5040943039683254,53.46,108.62,315675.0,36,2471.751412429379
서초구,방배동,4,2005.0,203.77984596774192,52.41860403225807,1.5040943039683254,53.46,108.62,315675.0,36,936.1997226074895
서초구,방배동,8,2001.0,203.77984596774192,52.41860403225807,1.502289253972529,53.67,108.74,294210.0,36,1474.293679300917
서초구,방배동,10,2009.0,203.77984596774192,52.41860403225807,1.502289253972529,53.67,108.74,294210.0,36,2205.8396702850177
서초구,방배동,8,2001.0,203.77984596774192,52.41860403225807,1.502289253972529,53.67,108.74,294210.0,36,2472.3334118201083
서초구,방배동,5,2005.0,203.77984596774192,52.41860403225807,1.502289253972529,53.67,108.74,294210.0,36,936.1997226074895
서초구,방배동,8,2009.0,203.77984596774192,52.41860403225807,1.502289253972529,53.67,108.74,294210.0,36,1907.9301404040896
서초구,방배동,10,2006.0,203.77984596774192,52.41860403225807,1.502289253972529,53.67,108.74,294210.0,36,1794.2865210843372
서초구,방배동,3,2003.0,203.77984596774192,52.41860403225807,1.4979401755328676,53.71,108.22,301276.0,36,908.9659235981538
서초구,방배동,7,2003.0,203.77984596774192,52.41860403225807,1.4979401755328676,53.71,108.22,301276.0,36,2670.6655241359613
서초구,방배동,4,2003.0,203.77984596774192,52.41860403225807,1.4979401755328676,53.71,108.22,301276.0,36,918.050158954433
서초구,방배동,7,2003.0,203.77984596774192,52.41860403225807,1.4979401755328676,53.71,108.22,301276.0,36,1670.4367496084917
서초구,방배동,3,2009.0,203.77984596774192,52.41860403225807,1.4979401755328676,53.71,108.22,301276.0,36,2060.718639345214
서초구,방배동,11,1999.0,203.77984596774192,52.41860403225807,1.4979401755328676,53.71,108.22,301276.0,36,2612.9943502824863
서초구,방배동,11,2021.0,203.77984596774192,52.41860403225807,1.4979401755328676,53.71,108.22,301276.0,36,3471.731864614226
서초구,방배동,8,1975.0,203.77984596774192,52.41860403225807,1.4979401755328676,53.71,108.22,301276.0,36,2273.006511856493
서초구,방배동,6,1981.0,203.77984596774192,52.41860403225807,1.4979401755328676,53.71,108.22,301276.0,36,1860.894813250627
서초구,방배동,17,2005.0,203.77984596774192,52.41860403225807,1.4979401755328676,53.71,108.22,301276.0,36,1167.076167076167
서초구,방배동,6,2003.0,203.77984596774192,52.41860403225807,1.4877005347593584,54.05,107.56,306753.0,36,1168.461694777484
서초구,방배동,2,2004.0,203.77984596774192,52.41860403225807,1.4877005347593584,54.05,107.56,306753.0,36,1449.239621866009
서초구,방배동,6,2013.0,203.77984596774192,52.41860403225807,1.4877005347593584,54.05,107.56,306753.0,36,3418.1364653467654
서초구,방배동,15,2006.0,203.77984596774192,52.41860403225807,1.4877005347593584,54.05,107.56,306753.0,36,1914.0539410622496
서초구,방배동,4,1994.0,203.77984596774192,52.41860403225807,1.4877005347593584,54.05,107.56,306753.0,36,873.9271857977035
서초구,방배동,22,2005.0,203.77984596774192,52.41860403225807,1.4877005347593584,54.05,107.56,306753.0,36,1003.3783783783784
서초구,방배동,4,1981.0,203.77984596774192,52.41860403225807,1.4877005347593584,54.05,107.56,306753.0,36,2266.0321776569226
서초구,방배동,12,2003.0,203.77984596774192,52.41860403225807,1.4877005347593584,54.05,107.56,306753.0,36,1520.608243297319
서초구,방배동,6,2002.0,203.77984596774192,52.41860403225807,1.4877005347593584,54.05,107.56,306753.0,36,1140.5109489051094
서초구,방배동,8,2002.0,203.77984596774192,52.41860403225807,1.4877005347593584,54.05,107.56,306753.0,36,1504.9140049140049
